0.517865	0.517865	0.517865	0.517394	0.477290	0.476818	0.477290	0.463538	0.159409	0.306761	0.467916	0.000000	0.123458	0.326081	0.348228	0.303462	0.302991	0.250686	0.399590	0.174821	0.184716	0.293567	0.306761	0.425978	0.480168	0.541897	0.491006	0.521635	0.408072	0.193198	0.196968	0.528703	0.530588	0.512682	0.461791	0.458963	0.461791	0.482478	0.482006	0.482995	0.482950	0.482006	0.483466	0.215345	0.222413	0.458896	0.404187	0.360008	0.250686
0.494366	0.494366	0.494366	0.493897	0.500909	0.500439	0.499969	0.487204	0.180908	0.286854	0.455869	0.123458	0.000000	0.344131	0.358216	0.283099	0.288732	0.243662	0.382160	0.182160	0.187793	0.311737	0.324883	0.440845	0.495305	0.558685	0.504225	0.532394	0.421596	0.216901	0.220188	0.538028	0.538967	0.491080	0.460563	0.480751	0.477934	0.457209	0.457679	0.456808	0.457679	0.457679	0.458216	0.226761	0.225822	0.480234	0.432774	0.368075	0.261972
0.536150	0.536150	0.536150	0.535681	0.459558	0.459088	0.458619	0.442101	0.216620	0.344601	0.433803	0.326081	0.344131	0.000000	0.079812	0.361502	0.356808	0.338028	0.434272	0.238967	0.242723	0.325352	0.330986	0.422535	0.467606	0.504695	0.468075	0.487793	0.407981	0.261502	0.266667	0.571362	0.570423	0.583568	0.512676	0.469953	0.465258	0.443112	0.442642	0.442254	0.442642	0.443582	0.442723	0.264789	0.267606	0.510307	0.451570	0.352582	0.312207
0.514554	0.514554	0.514554	0.514085	0.481174	0.480704	0.480234	0.462773	0.247162	0.360563	0.443192	0.348228	0.358216	0.079812	0.000000	0.347418	0.337089	0.366197	0.427700	0.260563	0.258685	0.334742	0.350704	0.430047	0.470423	0.499061	0.459624	0.489671	0.416432	0.295305	0.298592	0.574178	0.573239	0.567606	0.507981	0.467136	0.457746	0.448751	0.449221	0.448826	0.448281	0.449221	0.448357	0.292958	0.290141	0.499030	0.457209	0.349765	0.316901
0.291080	0.291080	0.291080	0.290610	0.704844	0.704374	0.703904	0.684058	0.257500	0.339906	0.434742	0.303462	0.283099	0.361502	0.347418	0.000000	0.044131	0.257277	0.361972	0.272770	0.274648	0.343192	0.361972	0.418779	0.461972	0.494366	0.466197	0.490610	0.418310	0.314085	0.297653	0.436150	0.438028	0.376995	0.353052	0.361033	0.357277	0.410219	0.409749	0.409390	0.409749	0.410689	0.409859	0.323005	0.313615	0.525344	0.522994	0.411737	0.379812
0.296714	0.296714	0.296714	0.296244	0.699205	0.698736	0.698266	0.678421	0.257500	0.344601	0.434742	0.302991	0.288732	0.356808	0.337089	0.044131	0.000000	0.257277	0.368545	0.269014	0.267136	0.338498	0.356338	0.415962	0.459155	0.491549	0.460563	0.488732	0.417371	0.315023	0.296714	0.433333	0.433333	0.380751	0.353052	0.365728	0.359155	0.415858	0.415388	0.415962	0.415388	0.416328	0.415493	0.320188	0.309859	0.527223	0.523934	0.407042	0.373239
0.373709	0.373709	0.373709	0.373239	0.621673	0.621203	0.621673	0.602310	0.203463	0.280751	0.370892	0.250686	0.243662	0.338028	0.366197	0.257277	0.257277	0.000000	0.236150	0.236150	0.238028	0.319718	0.325352	0.408451	0.451643	0.517840	0.485915	0.495305	0.407042	0.252113	0.256338	0.460563	0.459624	0.366667	0.338028	0.386385	0.381690	0.433244	0.432774	0.432864	0.432774	0.433714	0.433333	0.251643	0.255399	0.515476	0.492451	0.361033	0.311268
0.361972	0.361972	0.361972	0.362441	0.633420	0.632950	0.633420	0.617814	0.430890	0.394836	0.427700	0.399590	0.382160	0.434272	0.427700	0.361972	0.368545	0.236150	0.000000	0.449765	0.452582	0.447887	0.445070	0.494366	0.513146	0.542723	0.533333	0.535211	0.481690	0.435681	0.447418	0.451643	0.454460	0.352113	0.381690	0.430047	0.428169	0.495740	0.495270	0.496244	0.495270	0.496210	0.495775	0.444601	0.436150	0.483993	0.500439	0.343662	0.353052
0.495305	0.495305	0.495305	0.494836	0.499969	0.499500	0.499030	0.480156	0.052628	0.327230	0.489671	0.174821	0.182160	0.238967	0.260563	0.272770	0.269014	0.236150	0.449765	0.000000	0.022535	0.212207	0.216901	0.341315	0.398592	0.463850	0.413146	0.444131	0.323944	0.104225	0.101878	0.487324	0.489202	0.479812	0.396714	0.381221	0.390610	0.491041	0.491511	0.490610	0.490572	0.491511	0.491080	0.112207	0.126291	0.453920	0.404581	0.341784	0.222535
0.490610	0.490610	0.490610	0.490141	0.504668	0.504199	0.503729	0.484855	0.061556	0.327230	0.487793	0.184716	0.187793	0.242723	0.258685	0.274648	0.267136	0.238028	0.452582	0.022535	0.000000	0.215962	0.216901	0.333803	0.392958	0.456338	0.405634	0.436620	0.316432	0.119249	0.119718	0.486385	0.483568	0.474178	0.401408	0.400000	0.393427	0.505138	0.504668	0.504695	0.504668	0.505608	0.505164	0.130986	0.132864	0.462378	0.401761	0.337089	0.217840
0.405164	0.405164	0.405164	0.405634	0.590659	0.590190	0.589720	0.573181	0.178088	0.415493	0.559155	0.293567	0.311737	0.325352	0.334742	0.343192	0.338498	0.319718	0.447887	0.212207	0.215962	0.000000	0.091080	0.192958	0.237089	0.289202	0.264789	0.272300	0.176526	0.224413	0.188263	0.422535	0.421596	0.454460	0.375117	0.310798	0.302347	0.600527	0.600057	0.599531	0.600057	0.600997	0.600000	0.216432	0.202347	0.347253	0.300734	0.398122	0.324883
0.380751	0.380751	0.380751	0.381221	0.615094	0.614624	0.614154	0.595732	0.179028	0.426761	0.569484	0.306761	0.324883	0.330986	0.350704	0.361972	0.356338	0.325352	0.445070	0.216901	0.216901	0.091080	0.000000	0.144131	0.206103	0.274178	0.220657	0.250704	0.127700	0.221596	0.179812	0.388732	0.386854	0.426291	0.358216	0.296714	0.287324	0.603347	0.602877	0.602347	0.602877	0.603816	0.602817	0.214554	0.199531	0.341614	0.282877	0.401878	0.316432
0.371831	0.371831	0.371831	0.372300	0.624022	0.623552	0.623082	0.606538	0.312007	0.516432	0.600939	0.425978	0.440845	0.422535	0.430047	0.418779	0.415962	0.408451	0.494366	0.341315	0.333803	0.192958	0.144131	0.000000	0.108920	0.159155	0.164789	0.131925	0.116901	0.362911	0.320188	0.384507	0.383568	0.433333	0.368075	0.311268	0.301878	0.644228	0.643758	0.643192	0.643758	0.644697	0.643662	0.343662	0.327700	0.298854	0.271130	0.459624	0.420188
0.353991	0.353991	0.353991	0.354460	0.642348	0.641878	0.641408	0.629089	0.378732	0.544601	0.603756	0.480168	0.495305	0.467606	0.470423	0.461972	0.459155	0.451643	0.513146	0.398592	0.392958	0.237089	0.206103	0.108920	0.000000	0.109390	0.151643	0.103756	0.126291	0.424883	0.384038	0.375117	0.374178	0.423005	0.362441	0.308451	0.299061	0.654095	0.653625	0.652582	0.653625	0.654565	0.653052	0.398122	0.382160	0.280528	0.276299	0.479343	0.449296
0.323474	0.323474	0.323474	0.323944	0.672891	0.672421	0.671951	0.659628	0.444046	0.591080	0.601408	0.541897	0.558685	0.504695	0.499061	0.494366	0.491549	0.517840	0.542723	0.463850	0.456338	0.289202	0.274178	0.159155	0.109390	0.000000	0.109859	0.072300	0.167136	0.489202	0.451174	0.353052	0.351174	0.391549	0.333803	0.299531	0.289202	0.644228	0.643758	0.642723	0.643758	0.644697	0.643192	0.451174	0.435211	0.304493	0.310601	0.519249	0.498592
0.324413	0.324413	0.324413	0.324883	0.671482	0.671012	0.670542	0.653050	0.384840	0.540376	0.564789	0.491006	0.504225	0.468075	0.459624	0.466197	0.460563	0.485915	0.533333	0.413146	0.405634	0.264789	0.220657	0.164789	0.151643	0.109859	0.000000	0.123944	0.183099	0.432864	0.392019	0.349296	0.348357	0.390610	0.332864	0.292958	0.283568	0.608046	0.608515	0.607981	0.607576	0.608515	0.607512	0.400469	0.384507	0.348193	0.341145	0.503286	0.461033
0.334742	0.334742	0.334742	0.335211	0.661144	0.660674	0.660204	0.646473	0.419612	0.576056	0.599531	0.521635	0.532394	0.487793	0.489671	0.490610	0.488732	0.495305	0.535211	0.444131	0.436620	0.272300	0.250704	0.131925	0.103756	0.072300	0.123944	0.000000	0.154930	0.468545	0.426761	0.355869	0.354930	0.402817	0.343192	0.293897	0.284507	0.634360	0.633890	0.633333	0.633890	0.634830	0.633803	0.434272	0.418310	0.301203	0.296035	0.495775	0.472300
0.358216	0.358216	0.358216	0.358685	0.637649	0.637179	0.636709	0.621102	0.294621	0.508451	0.596714	0.408072	0.421596	0.407981	0.416432	0.418310	0.417371	0.407042	0.481690	0.323944	0.316432	0.176526	0.127700	0.116901	0.126291	0.167136	0.183099	0.154930	0.000000	0.341784	0.301878	0.374648	0.373709	0.415962	0.350704	0.289202	0.279812	0.622142	0.621673	0.621127	0.621673	0.622612	0.621596	0.324413	0.308451	0.309662	0.281938	0.450704	0.395305
